"Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)"	 Notes	 Notes.1	 Notes.2
"15	Spectrogram 1	1	687.739578999	687.992341510	23453.600	57474.200"	 20220628_083000.Table.1.selections.txt	 20220628_083000.Table.1.selections.txt	 20220628_083000.Table.1.selections.txt
"16	Waveform 1	1	690.352043364	690.519966617	15345.982	92633.929"	 20220628_083000.Table.1.selections.txt	 20220628_083000.Table.1.selections.txt	 20220628_083000.Table.1.selections.txt
"16	Spectrogram 1	1	690.352043364	690.519966617	15345.982	92633.929"	 20220628_083000.Table.1.selections.txt	 20220628_083000.Table.1.selections.txt	 20220628_083000.Table.1.selections.txt
"17	Waveform 1	1	694.816929147	695.069691658	21907.200	59793.800"	 20220628_083000.Table.1.selections.txt	 20220628_083000.Table.1.selections.txt	 20220628_083000.Table.1.selections.txt
"17	Spectrogram 1	1	694.816929147	695.069691658	21907.200	59793.800"	 20220628_083000.Table.1.selections.txt	 20220628_083000.Table.1.selections.txt	 20220628_083000.Table.1.selections.txt
"18	Waveform 1	1	706.444004181	706.630659574	21134.000	60824.700"	 20220628_083000.Table.1.selections.txt	 20220628_083000.Table.1.selections.txt	 20220628_083000.Table.1.selections.txt
"18	Spectrogram 1	1	706.444004181	706.630659574	21134.000	60824.700"	 20220628_083000.Table.1.selections.txt	 20220628_083000.Table.1.selections.txt	 20220628_083000.Table.1.selections.txt
"19	Waveform 1	1	710.853737523	711.087056764	24226.800	54896.900"	 20220628_083000.Table.1.selections.txt	 20220628_083000.Table.1.selections.txt	 20220628_083000.Table.1.selections.txt
"19	Spectrogram 1	1	710.853737523	711.087056764	24226.800	54896.900"	 20220628_083000.Table.1.selections.txt	 20220628_083000.Table.1.selections.txt	 20220628_083000.Table.1.selections.txt
"20	Waveform 1	1	718.444390001	718.732150397	19845.400	56958.800"	 20220628_083000.Table.1.selections.txt	 20220628_083000.Table.1.selections.txt	 20220628_083000.Table.1.selections.txt
"20	Spectrogram 1	1	718.444390001	718.732150397	19845.400	56958.800"	 20220628_083000.Table.1.selections.txt	 20220628_083000.Table.1.selections.txt	 20220628_083000.Table.1.selections.txt
"21	Waveform 1	1	721.446430744	721.590310942	23195.900	56958.800"	 20220628_083000.Table.1.selections.txt	 20220628_083000.Table.1.selections.txt	 20220628_083000.Table.1.selections.txt
"21	Spectrogram 1	1	721.446430744	721.590310942	23195.900	56958.800"	 20220628_083000.Table.1.selections.txt	 20220628_083000.Table.1.selections.txt	 20220628_083000.Table.1.selections.txt
"22	Waveform 1	1	742.281838171	742.538489336	22422.700	56701.000"	 20220628_083000.Table.1.selections.txt	 20220628_083000.Table.1.selections.txt	 20220628_083000.Table.1.selections.txt
"22	Spectrogram 1	1	742.281838171	742.538489336	22422.700	56701.000"	 20220628_083000.Table.1.selections.txt	 20220628_083000.Table.1.selections.txt	 20220628_083000.Table.1.selections.txt
"23	Waveform 1	1	747.838724446	748.468686396	22680.400	58247.400"	 20220628_083000.Table.1.selections.txt	 20220628_083000.Table.1.selections.txt	 20220628_083000.Table.1.selections.txt
"23	Spectrogram 1	1	747.838724446	748.468686396	22680.400	58247.400"	 20220628_083000.Table.1.selections.txt	 20220628_083000.Table.1.selections.txt	 20220628_083000.Table.1.selections.txt
"24	Waveform 1	1	751.894590427	752.077357166	25000.000	57989.700"	 20220628_083000.Table.1.selections.txt	 20220628_083000.Table.1.selections.txt	 20220628_083000.Table.1.selections.txt
"24	Spectrogram 1	1	751.894590427	752.077357166	25000.000	57989.700"	 20220628_083000.Table.1.selections.txt	 20220628_083000.Table.1.selections.txt	 20220628_083000.Table.1.selections.txt
"25	Waveform 1	1	753.080629901	753.294505871	20876.300	55927.800"	 20220628_083000.Table.1.selections.txt	 20220628_083000.Table.1.selections.txt	 20220628_083000.Table.1.selections.txt
"25	Spectrogram 1	1	753.080629901	753.294505871	20876.300	55927.800"	 20220628_083000.Table.1.selections.txt	 20220628_083000.Table.1.selections.txt	 20220628_083000.Table.1.selections.txt
"26	Waveform 1	1	783.975984795	784.220969998	25515.500	57989.700"	 20220628_083000.Table.1.selections.txt	 20220628_083000.Table.1.selections.txt	 20220628_083000.Table.1.selections.txt
"26	Spectrogram 1	1	783.975984795	784.220969998	25515.500	57989.700"	 20220628_083000.Table.1.selections.txt	 20220628_083000.Table.1.selections.txt	 20220628_083000.Table.1.selections.txt
"27	Waveform 1	1	785.422564087	785.648106020	23195.900	61340.200"	 20220628_083000.Table.1.selections.txt	 20220628_083000.Table.1.selections.txt	 20220628_083000.Table.1.selections.txt
"27	Spectrogram 1	1	785.422564087	785.648106020	23195.900	61340.200"	 20220628_083000.Table.1.selections.txt	 20220628_083000.Table.1.selections.txt	 20220628_083000.Table.1.selections.txt
"28	Waveform 1	1	786.546384943	786.775815530	23711.300	56701.000"	 20220628_083000.Table.1.selections.txt	 20220628_083000.Table.1.selections.txt	 20220628_083000.Table.1.selections.txt
"28	Spectrogram 1	1	786.546384943	786.775815530	23711.300	56701.000"	 20220628_083000.Table.1.selections.txt	 20220628_083000.Table.1.selections.txt	 20220628_083000.Table.1.selections.txt
"29	Waveform 1	1	802.886508486	803.154825613	23453.600	57989.700"	 20220628_083000.Table.1.selections.txt	 20220628_083000.Table.1.selections.txt	 20220628_083000.Table.1.selections.txt
"29	Spectrogram 1	1	802.886508486	803.154825613	23453.600	57989.700"	 20220628_083000.Table.1.selections.txt	 20220628_083000.Table.1.selections.txt	 20220628_083000.Table.1.selections.txt
"30	Waveform 1	1	806.934597159	807.206802940	24484.500	57989.700"	 20220628_083000.Table.1.selections.txt	 20220628_083000.Table.1.selections.txt	 20220628_083000.Table.1.selections.txt
"30	Spectrogram 1	1	806.934597159	807.206802940	24484.500	57989.700"	 20220628_083000.Table.1.selections.txt	 20220628_083000.Table.1.selections.txt	 20220628_083000.Table.1.selections.txt
"31	Waveform 1	1	808.890590127	809.209459756	25515.500	53608.200"	 20220628_083000.Table.1.selections.txt	 20220628_083000.Table.1.selections.txt	 20220628_083000.Table.1.selections.txt
"31	Spectrogram 1	1	808.890590127	809.209459756	25515.500	53608.200"	 20220628_083000.Table.1.selections.txt	 20220628_083000.Table.1.selections.txt	 20220628_083000.Table.1.selections.txt
"32	Waveform 1	1	813.506422285	813.770850758	23711.300	54896.900"	 20220628_083000.Table.1.selections.txt	 20220628_083000.Table.1.selections.txt	 20220628_083000.Table.1.selections.txt
"32	Spectrogram 1	1	813.506422285	813.770850758	23711.300	54896.900"	 20220628_083000.Table.1.selections.txt	 20220628_083000.Table.1.selections.txt	 20220628_083000.Table.1.selections.txt
"33	Waveform 1	1	815.240761821	815.555742796	22938.100	56958.800"	 20220628_083000.Table.1.selections.txt	 20220628_083000.Table.1.selections.txt	 20220628_083000.Table.1.selections.txt
"33	Spectrogram 1	1	815.240761821	815.555742796	22938.100	56958.800"	 20220628_083000.Table.1.selections.txt	 20220628_083000.Table.1.selections.txt	 20220628_083000.Table.1.selections.txt
"34	Waveform 1	1	816.990656126	817.223975367	23195.900	56958.800"	 20220628_083000.Table.1.selections.txt	 20220628_083000.Table.1.selections.txt	 20220628_083000.Table.1.selections.txt
"34	Spectrogram 1	1	816.990656126	817.223975367	23195.900	56958.800"	 20220628_083000.Table.1.selections.txt	 20220628_083000.Table.1.selections.txt	 20220628_083000.Table.1.selections.txt
"35	Waveform 1	1	826.673403316	827.000050253	19329.900	57989.700"	 20220628_083000.Table.1.selections.txt	 20220628_083000.Table.1.selections.txt	 20220628_083000.Table.1.selections.txt
"35	Spectrogram 1	1	826.673403316	827.000050253	19329.900	57989.700"	 20220628_083000.Table.1.selections.txt	 20220628_083000.Table.1.selections.txt	 20220628_083000.Table.1.selections.txt
"36	Waveform 1	1	841.924703736	842.169688939	20876.300	60051.500"	 20220628_083000.Table.1.selections.txt	 20220628_083000.Table.1.selections.txt	 20220628_083000.Table.1.selections.txt
"36	Spectrogram 1	1	841.924703736	842.169688939	20876.300	60051.500"	 20220628_083000.Table.1.selections.txt	 20220628_083000.Table.1.selections.txt	 20220628_083000.Table.1.selections.txt
"37	Waveform 1	1	898.442395639	898.632939686	19845.400	64690.700"	 20220628_083000.Table.1.selections.txt	 20220628_083000.Table.1.selections.txt	 20220628_083000.Table.1.selections.txt
"37	Spectrogram 1	1	898.442395639	898.632939686	19845.400	64690.700"	 20220628_083000.Table.1.selections.txt	 20220628_083000.Table.1.selections.txt	 20220628_083000.Table.1.selections.txt
"38	Waveform 1	1	901.055571135	901.238337874	22680.400	59278.400"	 20220628_083000.Table.1.selections.txt	 20220628_083000.Table.1.selections.txt	 20220628_083000.Table.1.selections.txt
"38	Spectrogram 1	1	901.055571135	901.238337874	22680.400	59278.400"	 20220628_083000.Table.1.selections.txt	 20220628_083000.Table.1.selections.txt	 20220628_083000.Table.1.selections.txt
"39	Waveform 1	1	932.055919688	932.363123355	24742.300	52835.100"	 20220628_083000.Table.1.selections.txt	 20220628_083000.Table.1.selections.txt	 20220628_083000.Table.1.selections.txt
"39	Spectrogram 1	1	932.055919688	932.363123355	24742.300	52835.100"	 20220628_083000.Table.1.selections.txt	 20220628_083000.Table.1.selections.txt	 20220628_083000.Table.1.selections.txt
"40	Waveform 1	1	933.490832865	933.747484029	23711.300	52577.300"	 20220628_083000.Table.1.selections.txt	 20220628_083000.Table.1.selections.txt	 20220628_083000.Table.1.selections.txt
"40	Spectrogram 1	1	933.490832865	933.747484029	23711.300	52577.300"	 20220628_083000.Table.1.selections.txt	 20220628_083000.Table.1.selections.txt	 20220628_083000.Table.1.selections.txt
"41	Waveform 1	1	934.847973115	935.229061208	22422.700	57216.500"	 20220628_083000.Table.1.selections.txt	 20220628_083000.Table.1.selections.txt	 20220628_083000.Table.1.selections.txt
"41	Spectrogram 1	1	934.847973115	935.229061208	22422.700	57216.500"	 20220628_083000.Table.1.selections.txt	 20220628_083000.Table.1.selections.txt	 20220628_083000.Table.1.selections.txt
"42	Waveform 1	1	937.861679820	938.149440217	22938.100	55670.100"	 20220628_083000.Table.1.selections.txt	 20220628_083000.Table.1.selections.txt	 20220628_083000.Table.1.selections.txt
"42	Spectrogram 1	1	937.861679820	938.149440217	22938.100	55670.100"	 20220628_083000.Table.1.selections.txt	 20220628_083000.Table.1.selections.txt	 20220628_083000.Table.1.selections.txt
"43	Waveform 1	1	951.868611110	952.109707658	25000.000	57989.700"	 20220628_083000.Table.1.selections.txt	 20220628_083000.Table.1.selections.txt	 20220628_083000.Table.1.selections.txt
"43	Spectrogram 1	1	951.868611110	952.109707658	25000.000	57989.700"	 20220628_083000.Table.1.selections.txt	 20220628_083000.Table.1.selections.txt	 20220628_083000.Table.1.selections.txt
"44	Waveform 1	1	1014.584820553	1014.748144022	30412.400	52061.900"	 20220628_083000.Table.1.selections.txt	 20220628_083000.Table.1.selections.txt	 20220628_083000.Table.1.selections.txt
"44	Spectrogram 1	1	1014.584820553	1014.748144022	30412.400	52061.900"	 20220628_083000.Table.1.selections.txt	 20220628_083000.Table.1.selections.txt	 20220628_083000.Table.1.selections.txt
"45	Waveform 1	1	1579.454563958	1579.613998772	28866.000	51804.100"	 20220628_083000.Table.1.selections.txt	 20220628_083000.Table.1.selections.txt	 20220628_083000.Table.1.selections.txt
"45	Spectrogram 1	1	1579.454563958	1579.613998772	28866.000	51804.100"	 20220628_083000.Table.1.selections.txt	 20220628_083000.Table.1.selections.txt	 20220628_083000.Table.1.selections.txt
"46	Waveform 1	1	1590.366126807	1590.537227584	29896.900	50773.200"	 20220628_083000.Table.1.selections.txt	 20220628_083000.Table.1.selections.txt	 20220628_083000.Table.1.selections.txt
"46	Spectrogram 1	1	1590.366126807	1590.537227584	29896.900	50773.200"	 20220628_083000.Table.1.selections.txt	 20220628_083000.Table.1.selections.txt	 20220628_083000.Table.1.selections.txt
"47	Waveform 1	1	781.477537605	781.635028093	18796.992	57330.827"	 20220628_083000.Table.1.selections.txt	 20220628_083000.Table.1.selections.txt	 20220628_083000.Table.1.selections.txt
"47	Spectrogram 1	1	781.477537605	781.635028093	18796.992	57330.827"	 20220628_083000.Table.1.selections.txt	 20220628_083000.Table.1.selections.txt	 20220628_083000.Table.1.selections.txt
"48	Waveform 1	1	1530.049136210	1530.138575252	15742.481	27020.677"	 20220628_083000.Table.1.selections.txt	 20220628_083000.Table.1.selections.txt	 20220628_083000.Table.1.selections.txt
"48	Spectrogram 1	1	1530.049136210	1530.138575252	15742.481	27020.677"	 20220628_083000.Table.1.selections.txt	 20220628_083000.Table.1.selections.txt	 20220628_083000.Table.1.selections.txt
"1	Waveform 1	1	15.836542848	16.065973435	20358.3	60871.3"	 20220722_103000.Table.1.selections.txt	 20220722_103000.Table.1.selections.txt	 20220722_103000.Table.1.selections.txt
"1	Spectrogram 1	1	15.836542848	16.065973435	20358.3	60871.3"	 20220722_103000.Table.1.selections.txt	 20220722_103000.Table.1.selections.txt	 20220722_103000.Table.1.selections.txt
"2	Waveform 1	1	21.529531772	21.700632548	19144.1	49361.9"	 20220722_103000.Table.1.selections.txt	 20220722_103000.Table.1.selections.txt	 20220722_103000.Table.1.selections.txt
"2	Spectrogram 1	1	21.529531772	21.700632548	19144.1	49361.9"	 20220722_103000.Table.1.selections.txt	 20220722_103000.Table.1.selections.txt	 20220722_103000.Table.1.selections.txt
"3	Waveform 1	1	100.850292393	101.204159908	18956.5	56869.4"	 20220722_103000.Table.1.selections.txt	 20220722_103000.Table.1.selections.txt	 20220722_103000.Table.1.selections.txt
"3	Spectrogram 1	1	100.850292393	101.204159908	18956.5	56869.4"	 20220722_103000.Table.1.selections.txt	 20220722_103000.Table.1.selections.txt	 20220722_103000.Table.1.selections.txt
"4	Waveform 1	1	102.802396553	103.066825026	17830.3	51238.7"	 20220722_103000.Table.1.selections.txt	 20220722_103000.Table.1.selections.txt	 20220722_103000.Table.1.selections.txt
"4	Spectrogram 1	1	102.802396553	103.066825026	17830.3	51238.7"	 20220722_103000.Table.1.selections.txt	 20220722_103000.Table.1.selections.txt	 20220722_103000.Table.1.selections.txt
"5	Waveform 1	1	114.056159964	114.215594779	18581.1	48986.5"	 20220722_103000.Table.1.selections.txt	 20220722_103000.Table.1.selections.txt	 20220722_103000.Table.1.selections.txt
"5	Spectrogram 1	1	114.056159964	114.215594779	18581.1	48986.5"	 20220722_103000.Table.1.selections.txt	 20220722_103000.Table.1.selections.txt	 20220722_103000.Table.1.selections.txt
"6	Waveform 1	1	199.730981087	199.991520906	13701.2	63438.4"	 20220722_103000.Table.1.selections.txt	 20220722_103000.Table.1.selections.txt	 20220722_103000.Table.1.selections.txt
"6	Spectrogram 1	1	199.730981087	199.991520906	13701.2	63438.4"	 20220722_103000.Table.1.selections.txt	 20220722_103000.Table.1.selections.txt	 20220722_103000.Table.1.selections.txt
"7	Waveform 1	1	212.637423138	212.792969298	13888.9	44857.4"	 20220722_103000.Table.1.selections.txt	 20220722_103000.Table.1.selections.txt	 20220722_103000.Table.1.selections.txt
"7	Spectrogram 1	1	212.637423138	212.792969298	13888.9	44857.4"	 20220722_103000.Table.1.selections.txt	 20220722_103000.Table.1.selections.txt	 20220722_103000.Table.1.selections.txt
"8	Waveform 1	1	213.586254716	213.800130687	17267.3	50112.6"	 20220722_103000.Table.1.selections.txt	 20220722_103000.Table.1.selections.txt	 20220722_103000.Table.1.selections.txt
"8	Spectrogram 1	1	213.586254716	213.800130687	17267.3	50112.6"	 20220722_103000.Table.1.selections.txt	 20220722_103000.Table.1.selections.txt	 20220722_103000.Table.1.selections.txt
"9	Waveform 1	1	243.175022016	243.385009333	16328.8	51238.7"	 20220722_103000.Table.1.selections.txt	 20220722_103000.Table.1.selections.txt	 20220722_103000.Table.1.selections.txt
"9	Spectrogram 1	1	243.175022016	243.385009333	16328.8	51238.7"	 20220722_103000.Table.1.selections.txt	 20220722_103000.Table.1.selections.txt	 20220722_103000.Table.1.selections.txt
"10	Waveform 1	1	240.771833837	240.919602690	17455.0	50863.4"	 20220722_103000.Table.1.selections.txt	 20220722_103000.Table.1.selections.txt	 20220722_103000.Table.1.selections.txt
"10	Spectrogram 1	1	240.771833837	240.919602690	17455.0	50863.4"	 20220722_103000.Table.1.selections.txt	 20220722_103000.Table.1.selections.txt	 20220722_103000.Table.1.selections.txt
"11	Waveform 1	1	264.698721050	264.955372215	14639.6	62687.7"	 20220722_103000.Table.1.selections.txt	 20220722_103000.Table.1.selections.txt	 20220722_103000.Table.1.selections.txt
"11	Spectrogram 1	1	264.698721050	264.955372215	14639.6	62687.7"	 20220722_103000.Table.1.selections.txt	 20220722_103000.Table.1.selections.txt	 20220722_103000.Table.1.selections.txt
"12	Waveform 1	1	274.634231743	274.797555211	22147.1	56118.6"	 20220722_103000.Table.1.selections.txt	 20220722_103000.Table.1.selections.txt	 20220722_103000.Table.1.selections.txt
"12	Spectrogram 1	1	274.634231743	274.797555211	22147.1	56118.6"	 20220722_103000.Table.1.selections.txt	 20220722_103000.Table.1.selections.txt	 20220722_103000.Table.1.selections.txt
"13	Waveform 1	1	387.813499785	388.054596334	15015.0	57244.7"	 20220722_103000.Table.1.selections.txt	 20220722_103000.Table.1.selections.txt	 20220722_103000.Table.1.selections.txt
"13	Spectrogram 1	1	387.813499785	388.054596334	15015.0	57244.7"	 20220722_103000.Table.1.selections.txt	 20220722_103000.Table.1.selections.txt	 20220722_103000.Table.1.selections.txt
"14	Waveform 1	1	399.693337330	399.988875035	14264.3	65127.6"	 20220722_103000.Table.1.selections.txt	 20220722_103000.Table.1.selections.txt	 20220722_103000.Table.1.selections.txt
"14	Spectrogram 1	1	399.693337330	399.988875035	14264.3	65127.6"	 20220722_103000.Table.1.selections.txt	 20220722_103000.Table.1.selections.txt	 20220722_103000.Table.1.selections.txt
"15	Waveform 1	1	414.081356713	414.493554038	17079.6	60998.5"	 20220722_103000.Table.1.selections.txt	 20220722_103000.Table.1.selections.txt	 20220722_103000.Table.1.selections.txt
"15	Spectrogram 1	1	414.081356713	414.493554038	17079.6	60998.5"	 20220722_103000.Table.1.selections.txt	 20220722_103000.Table.1.selections.txt	 20220722_103000.Table.1.selections.txt
"16	Waveform 1	1	584.680490103	584.832147610	12762.8	42605.1"	 20220722_103000.Table.1.selections.txt	 20220722_103000.Table.1.selections.txt	 20220722_103000.Table.1.selections.txt
"16	Spectrogram 1	1	584.680490103	584.832147610	12762.8	42605.1"	 20220722_103000.Table.1.selections.txt	 20220722_103000.Table.1.selections.txt	 20220722_103000.Table.1.selections.txt
"17	Waveform 1	1	857.255677582	857.590101827	14452.0	64001.5"	 20220722_103000.Table.1.selections.txt	 20220722_103000.Table.1.selections.txt	 20220722_103000.Table.1.selections.txt
"17	Spectrogram 1	1	857.255677582	857.590101827	14452.0	64001.5"	 20220722_103000.Table.1.selections.txt	 20220722_103000.Table.1.selections.txt	 20220722_103000.Table.1.selections.txt
"18	Waveform 1	1	862.482028420	862.800898049	21208.7	53866.4"	 20220722_103000.Table.1.selections.txt	 20220722_103000.Table.1.selections.txt	 20220722_103000.Table.1.selections.txt
"18	Spectrogram 1	1	862.482028420	862.800898049	21208.7	53866.4"	 20220722_103000.Table.1.selections.txt	 20220722_103000.Table.1.selections.txt	 20220722_103000.Table.1.selections.txt
"19	Waveform 1	1	948.184069967	948.436832478	15390.4	58746.2"	 20220722_103000.Table.1.selections.txt	 20220722_103000.Table.1.selections.txt	 20220722_103000.Table.1.selections.txt
"19	Spectrogram 1	1	948.184069967	948.436832478	15390.4	58746.2"	 20220722_103000.Table.1.selections.txt	 20220722_103000.Table.1.selections.txt	 20220722_103000.Table.1.selections.txt
"20	Waveform 1	1	1032.458976484	1032.696184378	19331.8	55743.2"	 20220722_103000.Table.1.selections.txt	 20220722_103000.Table.1.selections.txt	 20220722_103000.Table.1.selections.txt
"20	Spectrogram 1	1	1032.458976484	1032.696184378	19331.8	55743.2"	 20220722_103000.Table.1.selections.txt	 20220722_103000.Table.1.selections.txt	 20220722_103000.Table.1.selections.txt
"21	Waveform 1	1	1029.418049047	1029.686366173	20270.3	53115.6"	 20220722_103000.Table.1.selections.txt	 20220722_103000.Table.1.selections.txt	 20220722_103000.Table.1.selections.txt
"21	Spectrogram 1	1	1029.418049047	1029.686366173	20270.3	53115.6"	 20220722_103000.Table.1.selections.txt	 20220722_103000.Table.1.selections.txt	 20220722_103000.Table.1.selections.txt
"22	Waveform 1	1	1136.134376943	1136.243259256	26276.3	41854.4"	 20220722_103000.Table.1.selections.txt	 20220722_103000.Table.1.selections.txt	 20220722_103000.Table.1.selections.txt
"22	Spectrogram 1	1	1136.134376943	1136.243259256	26276.3	41854.4"	 20220722_103000.Table.1.selections.txt	 20220722_103000.Table.1.selections.txt	 20220722_103000.Table.1.selections.txt
"23	Waveform 1	1	1232.992967381	1233.117404310	24774.8	38476.0"	 20220722_103000.Table.1.selections.txt	 20220722_103000.Table.1.selections.txt	 20220722_103000.Table.1.selections.txt
"23	Spectrogram 1	1	1232.992967381	1233.117404310	24774.8	38476.0"	 20220722_103000.Table.1.selections.txt	 20220722_103000.Table.1.selections.txt	 20220722_103000.Table.1.selections.txt
"24	Waveform 1	1	1234.910073809	1235.038399391	26464.0	38663.7"	 20220722_103000.Table.1.selections.txt	 20220722_103000.Table.1.selections.txt	 20220722_103000.Table.1.selections.txt
"24	Spectrogram 1	1	1234.910073809	1235.038399391	26464.0	38663.7"	 20220722_103000.Table.1.selections.txt	 20220722_103000.Table.1.selections.txt	 20220722_103000.Table.1.selections.txt
"25	Waveform 1	1	1242.232409006	1242.360734588	23461.0	40728.2"	 20220722_103000.Table.1.selections.txt	 20220722_103000.Table.1.selections.txt	 20220722_103000.Table.1.selections.txt
"25	Spectrogram 1	1	1242.232409006	1242.360734588	23461.0	40728.2"	 20220722_103000.Table.1.selections.txt	 20220722_103000.Table.1.selections.txt	 20220722_103000.Table.1.selections.txt
"26	Waveform 1	1	1302.024349948	1302.137120914	15202.7	54241.7"	 20220722_103000.Table.1.selections.txt	 20220722_103000.Table.1.selections.txt	 20220722_103000.Table.1.selections.txt
"26	Spectrogram 1	1	1302.024349948	1302.137120914	15202.7	54241.7"	 20220722_103000.Table.1.selections.txt	 20220722_103000.Table.1.selections.txt	 20220722_103000.Table.1.selections.txt
"27	Waveform 1	1	1350.928059965	1351.223597670	13513.5	55367.9"	 20220722_103000.Table.1.selections.txt	 20220722_103000.Table.1.selections.txt	 20220722_103000.Table.1.selections.txt
"27	Spectrogram 1	1	1350.928059965	1351.223597670	13513.5	55367.9"	 20220722_103000.Table.1.selections.txt	 20220722_103000.Table.1.selections.txt	 20220722_103000.Table.1.selections.txt
