Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz), Notes, Notes, Notes
10	Waveform 1	1	744.896984976	745.075715061	18480.4	61983.0, 20220813_050000.Table.1.selections.txt, 20220813_050000.Table.1.selections.txt, 20220813_050000.Table.1.selections.txt
10	Spectrogram 1	1	744.896984976	745.075715061	18480.4	61983.0, 20220813_050000.Table.1.selections.txt, 20220813_050000.Table.1.selections.txt, 20220813_050000.Table.1.selections.txt
11	Waveform 1	1	781.605387904	781.773119215	22241.9	64763.2, 20220813_050000.Table.1.selections.txt, 20220813_050000.Table.1.selections.txt, 20220813_050000.Table.1.selections.txt
11	Spectrogram 1	1	781.605387904	781.773119215	22241.9	64763.2, 20220813_050000.Table.1.selections.txt, 20220813_050000.Table.1.selections.txt, 20220813_050000.Table.1.selections.txt
12	Waveform 1	1	796.126518345	796.382239851	14555.4	61655.9, 20220813_050000.Table.1.selections.txt, 20220813_050000.Table.1.selections.txt, 20220813_050000.Table.1.selections.txt
12	Spectrogram 1	1	796.126518345	796.382239851	14555.4	61655.9, 20220813_050000.Table.1.selections.txt, 20220813_050000.Table.1.selections.txt, 20220813_050000.Table.1.selections.txt
13	Waveform 1	1	807.763220491	807.933701496	18480.4	71795.6, 20220813_050000.Table.1.selections.txt, 20220813_050000.Table.1.selections.txt, 20220813_050000.Table.1.selections.txt
13	Spectrogram 1	1	807.763220491	807.933701496	18480.4	71795.6, 20220813_050000.Table.1.selections.txt, 20220813_050000.Table.1.selections.txt, 20220813_050000.Table.1.selections.txt
14	Waveform 1	1	808.365403394	808.533134705	18316.9	67543.4, 20220813_050000.Table.1.selections.txt, 20220813_050000.Table.1.selections.txt, 20220813_050000.Table.1.selections.txt
14	Spectrogram 1	1	808.365403394	808.533134705	18316.9	67543.4, 20220813_050000.Table.1.selections.txt, 20220813_050000.Table.1.selections.txt, 20220813_050000.Table.1.selections.txt
15	Waveform 1	1	831.682802785	831.889029806	13083.5	63945.5, 20220813_050000.Table.1.selections.txt, 20220813_050000.Table.1.selections.txt, 20220813_050000.Table.1.selections.txt
15	Spectrogram 1	1	831.682802785	831.889029806	13083.5	63945.5, 20220813_050000.Table.1.selections.txt, 20220813_050000.Table.1.selections.txt, 20220813_050000.Table.1.selections.txt
16	Waveform 1	1	843.588974593	843.759455597	17826.2	67216.4, 20220813_050000.Table.1.selections.txt, 20220813_050000.Table.1.selections.txt, 20220813_050000.Table.1.selections.txt
16	Spectrogram 1	1	843.588974593	843.759455597	17826.2	67216.4, 20220813_050000.Table.1.selections.txt, 20220813_050000.Table.1.selections.txt, 20220813_050000.Table.1.selections.txt
17	Waveform 1	1	860.010143012	860.216370033	19788.8	62800.7, 20220813_050000.Table.1.selections.txt, 20220813_050000.Table.1.selections.txt, 20220813_050000.Table.1.selections.txt
17	Spectrogram 1	1	860.010143012	860.216370033	19788.8	62800.7, 20220813_050000.Table.1.selections.txt, 20220813_050000.Table.1.selections.txt, 20220813_050000.Table.1.selections.txt
18	Waveform 1	1	860.936789761	861.090772604	22078.4	61655.9, 20220813_050000.Table.1.selections.txt, 20220813_050000.Table.1.selections.txt, 20220813_050000.Table.1.selections.txt
18	Spectrogram 1	1	860.936789761	861.090772604	22078.4	61655.9, 20220813_050000.Table.1.selections.txt, 20220813_050000.Table.1.selections.txt, 20220813_050000.Table.1.selections.txt
19	Waveform 1	1	874.594516405	874.775996184	29110.7	59693.4, 20220813_050000.Table.1.selections.txt, 20220813_050000.Table.1.selections.txt, 20220813_050000.Table.1.selections.txt
19	Spectrogram 1	1	874.594516405	874.775996184	29110.7	59693.4, 20220813_050000.Table.1.selections.txt, 20220813_050000.Table.1.selections.txt, 20220813_050000.Table.1.selections.txt
20	Waveform 1	1	927.410625505	927.548110186	23386.7	59039.2, 20220813_050000.Table.1.selections.txt, 20220813_050000.Table.1.selections.txt, 20220813_050000.Table.1.selections.txt
20	Spectrogram 1	1	927.410625505	927.548110186	23386.7	59039.2, 20220813_050000.Table.1.selections.txt, 20220813_050000.Table.1.selections.txt, 20220813_050000.Table.1.selections.txt
21	Waveform 1	1	998.193003653	998.327738640	13410.6	58057.9, 20220813_050000.Table.1.selections.txt, 20220813_050000.Table.1.selections.txt, 20220813_050000.Table.1.selections.txt
21	Spectrogram 1	1	998.193003653	998.327738640	13410.6	58057.9, 20220813_050000.Table.1.selections.txt, 20220813_050000.Table.1.selections.txt, 20220813_050000.Table.1.selections.txt
22	Waveform 1	1	1401.133058570	1401.320037737	13901.2	61655.9, 20220813_050000.Table.1.selections.txt, 20220813_050000.Table.1.selections.txt, 20220813_050000.Table.1.selections.txt
22	Spectrogram 1	1	1401.133058570	1401.320037737	13901.2	61655.9, 20220813_050000.Table.1.selections.txt, 20220813_050000.Table.1.selections.txt, 20220813_050000.Table.1.selections.txt
23	Waveform 1	1	1401.801233807	1402.078952863	14718.9	57403.7, 20220813_050000.Table.1.selections.txt, 20220813_050000.Table.1.selections.txt, 20220813_050000.Table.1.selections.txt
23	Spectrogram 1	1	1401.801233807	1402.078952863	14718.9	57403.7, 20220813_050000.Table.1.selections.txt, 20220813_050000.Table.1.selections.txt, 20220813_050000.Table.1.selections.txt
24	Waveform 1	1	1403.305316217	1403.459299060	18644.0	60674.6, 20220813_050000.Table.1.selections.txt, 20220813_050000.Table.1.selections.txt, 20220813_050000.Table.1.selections.txt
24	Spectrogram 1	1	1403.305316217	1403.459299060	18644.0	60674.6, 20220813_050000.Table.1.selections.txt, 20220813_050000.Table.1.selections.txt, 20220813_050000.Table.1.selections.txt
25	Waveform 1	1	1431.649154606	1431.847132546	20279.4	58875.6, 20220813_050000.Table.1.selections.txt, 20220813_050000.Table.1.selections.txt, 20220813_050000.Table.1.selections.txt
25	Spectrogram 1	1	1431.649154606	1431.847132546	20279.4	58875.6, 20220813_050000.Table.1.selections.txt, 20220813_050000.Table.1.selections.txt, 20220813_050000.Table.1.selections.txt
26	Waveform 1	1	1456.390895291	1456.594372619	22078.4	58385.0, 20220813_050000.Table.1.selections.txt, 20220813_050000.Table.1.selections.txt, 20220813_050000.Table.1.selections.txt
26	Spectrogram 1	1	1456.390895291	1456.594372619	22078.4	58385.0, 20220813_050000.Table.1.selections.txt, 20220813_050000.Table.1.selections.txt, 20220813_050000.Table.1.selections.txt
