Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz), Notes, Notes, Notes
19	Waveform 1	1	885.710786458	885.887720216	16183.3	65204.6, 20220826_090000.Table.1.selections.txt, 20220826_090000.Table.1.selections.txt, 20220826_090000.Table.1.selections.txt
19	Spectrogram 1	1	885.710786458	885.887720216	16183.3	65204.6, 20220826_090000.Table.1.selections.txt, 20220826_090000.Table.1.selections.txt, 20220826_090000.Table.1.selections.txt
20	Waveform 1	1	917.204990473	917.259431629	24667.8	55306.1, 20220826_090000.Table.1.selections.txt, 20220826_090000.Table.1.selections.txt, 20220826_090000.Table.1.selections.txt
20	Spectrogram 1	1	917.204990473	917.259431629	24667.8	55306.1, 20220826_090000.Table.1.selections.txt, 20220826_090000.Table.1.selections.txt, 20220826_090000.Table.1.selections.txt
21	Waveform 1	1	918.933496880	919.013214287	23096.6	62847.8, 20220826_090000.Table.1.selections.txt, 20220826_090000.Table.1.selections.txt, 20220826_090000.Table.1.selections.txt
21	Spectrogram 1	1	918.933496880	919.013214287	23096.6	62847.8, 20220826_090000.Table.1.selections.txt, 20220826_090000.Table.1.selections.txt, 20220826_090000.Table.1.selections.txt
22	Waveform 1	1	985.925273611	986.156648524	21996.7	58134.2, 20220826_090000.Table.1.selections.txt, 20220826_090000.Table.1.selections.txt, 20220826_090000.Table.1.selections.txt
22	Spectrogram 1	1	985.925273611	986.156648524	21996.7	58134.2, 20220826_090000.Table.1.selections.txt, 20220826_090000.Table.1.selections.txt, 20220826_090000.Table.1.selections.txt
23	Waveform 1	1	985.330309848	985.480023027	23882.2	59862.5, 20220826_090000.Table.1.selections.txt, 20220826_090000.Table.1.selections.txt, 20220826_090000.Table.1.selections.txt
23	Spectrogram 1	1	985.330309848	985.480023027	23882.2	59862.5, 20220826_090000.Table.1.selections.txt, 20220826_090000.Table.1.selections.txt, 20220826_090000.Table.1.selections.txt
24	Waveform 1	1	985.795004002	985.872777082	23725.0	60176.8, 20220826_090000.Table.1.selections.txt, 20220826_090000.Table.1.selections.txt, 20220826_090000.Table.1.selections.txt
24	Spectrogram 1	1	985.795004002	985.872777082	23725.0	60176.8, 20220826_090000.Table.1.selections.txt, 20220826_090000.Table.1.selections.txt, 20220826_090000.Table.1.selections.txt
25	Waveform 1	1	1031.068651396	1031.158090438	27181.7	58919.8, 20220826_090000.Table.1.selections.txt, 20220826_090000.Table.1.selections.txt, 20220826_090000.Table.1.selections.txt
25	Spectrogram 1	1	1031.068651396	1031.158090438	27181.7	58919.8, 20220826_090000.Table.1.selections.txt, 20220826_090000.Table.1.selections.txt, 20220826_090000.Table.1.selections.txt
26	Waveform 1	1	1089.575385443	1089.758152182	20425.5	64576.1, 20220826_090000.Table.1.selections.txt, 20220826_090000.Table.1.selections.txt, 20220826_090000.Table.1.selections.txt
26	Spectrogram 1	1	1089.575385443	1089.758152182	20425.5	64576.1, 20220826_090000.Table.1.selections.txt, 20220826_090000.Table.1.selections.txt, 20220826_090000.Table.1.selections.txt
27	Waveform 1	1	1090.090632099	1090.288953454	18540.1	60333.9, 20220826_090000.Table.1.selections.txt, 20220826_090000.Table.1.selections.txt, 20220826_090000.Table.1.selections.txt
27	Spectrogram 1	1	1090.090632099	1090.288953454	18540.1	60333.9, 20220826_090000.Table.1.selections.txt, 20220826_090000.Table.1.selections.txt, 20220826_090000.Table.1.selections.txt
28	Waveform 1	1	1100.761096061	1100.932196838	23410.8	63319.1, 20220826_090000.Table.1.selections.txt, 20220826_090000.Table.1.selections.txt, 20220826_090000.Table.1.selections.txt
28	Spectrogram 1	1	1100.761096061	1100.932196838	23410.8	63319.1, 20220826_090000.Table.1.selections.txt, 20220826_090000.Table.1.selections.txt, 20220826_090000.Table.1.selections.txt
29	Waveform 1	1	1101.445499167	1101.620488597	19954.2	73217.7, 20220826_090000.Table.1.selections.txt, 20220826_090000.Table.1.selections.txt, 20220826_090000.Table.1.selections.txt
29	Spectrogram 1	1	1101.445499167	1101.620488597	19954.2	73217.7, 20220826_090000.Table.1.selections.txt, 20220826_090000.Table.1.selections.txt, 20220826_090000.Table.1.selections.txt
30	Waveform 1	1	1111.241017114	1111.507389914	20896.9	60648.1, 20220826_090000.Table.1.selections.txt, 20220826_090000.Table.1.selections.txt, 20220826_090000.Table.1.selections.txt
30	Spectrogram 1	1	1111.241017114	1111.507389914	20896.9	60648.1, 20220826_090000.Table.1.selections.txt, 20220826_090000.Table.1.selections.txt, 20220826_090000.Table.1.selections.txt
31	Waveform 1	1	1120.542676303	1120.744886311	20582.7	61119.5, 20220826_090000.Table.1.selections.txt, 20220826_090000.Table.1.selections.txt, 20220826_090000.Table.1.selections.txt
31	Spectrogram 1	1	1120.542676303	1120.744886311	20582.7	61119.5, 20220826_090000.Table.1.selections.txt, 20220826_090000.Table.1.selections.txt, 20220826_090000.Table.1.selections.txt
32	Waveform 1	1	1132.541116446	1132.735549146	18383.0	61276.6, 20220826_090000.Table.1.selections.txt, 20220826_090000.Table.1.selections.txt, 20220826_090000.Table.1.selections.txt
32	Spectrogram 1	1	1132.541116446	1132.735549146	18383.0	61276.6, 20220826_090000.Table.1.selections.txt, 20220826_090000.Table.1.selections.txt, 20220826_090000.Table.1.selections.txt
33	Waveform 1	1	1138.344931654	1138.597694164	23253.7	63476.3, 20220826_090000.Table.1.selections.txt, 20220826_090000.Table.1.selections.txt, 20220826_090000.Table.1.selections.txt
33	Spectrogram 1	1	1138.344931654	1138.597694164	23253.7	63476.3, 20220826_090000.Table.1.selections.txt, 20220826_090000.Table.1.selections.txt, 20220826_090000.Table.1.selections.txt
34	Waveform 1	1	1217.949553050	1218.208148542	17754.5	66147.3, 20220826_090000.Table.1.selections.txt, 20220826_090000.Table.1.selections.txt, 20220826_090000.Table.1.selections.txt
34	Spectrogram 1	1	1217.949553050	1218.208148542	17754.5	66147.3, 20220826_090000.Table.1.selections.txt, 20220826_090000.Table.1.selections.txt, 20220826_090000.Table.1.selections.txt
35	Waveform 1	1	1219.584732061	1219.788886396	18383.0	68189.9, 20220826_090000.Table.1.selections.txt, 20220826_090000.Table.1.selections.txt, 20220826_090000.Table.1.selections.txt
35	Spectrogram 1	1	1219.584732061	1219.788886396	18383.0	68189.9, 20220826_090000.Table.1.selections.txt, 20220826_090000.Table.1.selections.txt, 20220826_090000.Table.1.selections.txt
36	Waveform 1	1	1225.775467205	1226.024341062	19639.9	64261.9, 20220826_090000.Table.1.selections.txt, 20220826_090000.Table.1.selections.txt, 20220826_090000.Table.1.selections.txt
36	Spectrogram 1	1	1225.775467205	1226.024341062	19639.9	64261.9, 20220826_090000.Table.1.selections.txt, 20220826_090000.Table.1.selections.txt, 20220826_090000.Table.1.selections.txt
37	Waveform 1	1	1226.582362912	1226.722354456	20425.5	62533.6, 20220826_090000.Table.1.selections.txt, 20220826_090000.Table.1.selections.txt, 20220826_090000.Table.1.selections.txt
37	Spectrogram 1	1	1226.582362912	1226.722354456	20425.5	62533.6, 20220826_090000.Table.1.selections.txt, 20220826_090000.Table.1.selections.txt, 20220826_090000.Table.1.selections.txt
38	Waveform 1	1	1298.460231131	1298.602167002	17597.4	64733.2, 20220826_090000.Table.1.selections.txt, 20220826_090000.Table.1.selections.txt, 20220826_090000.Table.1.selections.txt
38	Spectrogram 1	1	1298.460231131	1298.602167002	17597.4	64733.2, 20220826_090000.Table.1.selections.txt, 20220826_090000.Table.1.selections.txt, 20220826_090000.Table.1.selections.txt
39	Waveform 1	1	1364.629557003	1364.835655665	20425.5	67247.1, 20220826_090000.Table.1.selections.txt, 20220826_090000.Table.1.selections.txt, 20220826_090000.Table.1.selections.txt
39	Spectrogram 1	1	1364.629557003	1364.835655665	20425.5	67247.1, 20220826_090000.Table.1.selections.txt, 20220826_090000.Table.1.selections.txt, 20220826_090000.Table.1.selections.txt
40	Waveform 1	1	1402.736415959	1402.944458948	22625.2	60648.1, 20220826_090000.Table.1.selections.txt, 20220826_090000.Table.1.selections.txt, 20220826_090000.Table.1.selections.txt
40	Spectrogram 1	1	1402.736415959	1402.944458948	22625.2	60648.1, 20220826_090000.Table.1.selections.txt, 20220826_090000.Table.1.selections.txt, 20220826_090000.Table.1.selections.txt
41	Waveform 1	1	1446.423491980	1446.547928908	24196.4	69761.0, 20220826_090000.Table.1.selections.txt, 20220826_090000.Table.1.selections.txt, 20220826_090000.Table.1.selections.txt
41	Spectrogram 1	1	1446.423491980	1446.547928908	24196.4	69761.0, 20220826_090000.Table.1.selections.txt, 20220826_090000.Table.1.selections.txt, 20220826_090000.Table.1.selections.txt
44	Waveform 1	1	1582.920085126	1583.071742632	18540.1	65361.7, 20220826_090000.Table.1.selections.txt, 20220826_090000.Table.1.selections.txt, 20220826_090000.Table.1.selections.txt
44	Spectrogram 1	1	1582.920085126	1583.071742632	18540.1	65361.7, 20220826_090000.Table.1.selections.txt, 20220826_090000.Table.1.selections.txt, 20220826_090000.Table.1.selections.txt
45	Waveform 1	1	1591.360406615	1591.521785756	21211.1	57662.8, 20220826_090000.Table.1.selections.txt, 20220826_090000.Table.1.selections.txt, 20220826_090000.Table.1.selections.txt
45	Spectrogram 1	1	1591.360406615	1591.521785756	21211.1	57662.8, 20220826_090000.Table.1.selections.txt, 20220826_090000.Table.1.selections.txt, 20220826_090000.Table.1.selections.txt
46	Waveform 1	1	1602.577227302	1602.736662116	19954.2	66775.8, 20220826_090000.Table.1.selections.txt, 20220826_090000.Table.1.selections.txt, 20220826_090000.Table.1.selections.txt
46	Spectrogram 1	1	1602.577227302	1602.736662116	19954.2	66775.8, 20220826_090000.Table.1.selections.txt, 20220826_090000.Table.1.selections.txt, 20220826_090000.Table.1.selections.txt
47	Waveform 1	1	1605.489828854	1605.672595593	16968.9	65204.6, 20220826_090000.Table.1.selections.txt, 20220826_090000.Table.1.selections.txt, 20220826_090000.Table.1.selections.txt
47	Spectrogram 1	1	1605.489828854	1605.672595593	16968.9	65204.6, 20220826_090000.Table.1.selections.txt, 20220826_090000.Table.1.selections.txt, 20220826_090000.Table.1.selections.txt
48	Waveform 1	1	1702.920038663	1703.124192999	22782.3	62690.7, 20220826_090000.Table.1.selections.txt, 20220826_090000.Table.1.selections.txt, 20220826_090000.Table.1.selections.txt
48	Spectrogram 1	1	1702.920038663	1703.124192999	22782.3	62690.7, 20220826_090000.Table.1.selections.txt, 20220826_090000.Table.1.selections.txt, 20220826_090000.Table.1.selections.txt
49	Waveform 1	1	1757.332019803	1757.477844328	25610.5	57348.6, 20220826_090000.Table.1.selections.txt, 20220826_090000.Table.1.selections.txt, 20220826_090000.Table.1.selections.txt
49	Spectrogram 1	1	1757.332019803	1757.477844328	25610.5	57348.6, 20220826_090000.Table.1.selections.txt, 20220826_090000.Table.1.selections.txt, 20220826_090000.Table.1.selections.txt
50	Waveform 1	1	1785.388652600	1785.491701931	20896.9	67875.6, 20220826_090000.Table.1.selections.txt, 20220826_090000.Table.1.selections.txt, 20220826_090000.Table.1.selections.txt
50	Spectrogram 1	1	1785.388652600	1785.491701931	20896.9	67875.6, 20220826_090000.Table.1.selections.txt, 20220826_090000.Table.1.selections.txt, 20220826_090000.Table.1.selections.txt
