Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
19	Spectrogram 1	1	710.853737523	711.087056764	24226.800	54896.900
20	Waveform 1	1	718.444390001	718.732150397	19845.400	56958.800
20	Spectrogram 1	1	718.444390001	718.732150397	19845.400	56958.800
21	Waveform 1	1	721.446430744	721.590310942	23195.900	56958.800
21	Spectrogram 1	1	721.446430744	721.590310942	23195.900	56958.800
22	Waveform 1	1	742.281838171	742.538489336	22422.700	56701.000
22	Spectrogram 1	1	742.281838171	742.538489336	22422.700	56701.000
23	Waveform 1	1	747.838724446	748.468686396	22680.400	58247.400
23	Spectrogram 1	1	747.838724446	748.468686396	22680.400	58247.400
24	Waveform 1	1	751.894590427	752.077357166	25000.000	57989.700
24	Spectrogram 1	1	751.894590427	752.077357166	25000.000	57989.700
25	Waveform 1	1	753.080629901	753.294505871	20876.300	55927.800
25	Spectrogram 1	1	753.080629901	753.294505871	20876.300	55927.800
26	Waveform 1	1	783.975984795	784.220969998	25515.500	57989.700
26	Spectrogram 1	1	783.975984795	784.220969998	25515.500	57989.700
27	Waveform 1	1	785.422564087	785.648106020	23195.900	61340.200
27	Spectrogram 1	1	785.422564087	785.648106020	23195.900	61340.200
28	Waveform 1	1	786.546384943	786.775815530	23711.300	56701.000
28	Spectrogram 1	1	786.546384943	786.775815530	23711.300	56701.000
29	Waveform 1	1	802.886508486	803.154825613	23453.600	57989.700
29	Spectrogram 1	1	802.886508486	803.154825613	23453.600	57989.700
30	Waveform 1	1	806.934597159	807.206802940	24484.500	57989.700
30	Spectrogram 1	1	806.934597159	807.206802940	24484.500	57989.700
31	Waveform 1	1	808.890590127	809.209459756	25515.500	53608.200
31	Spectrogram 1	1	808.890590127	809.209459756	25515.500	53608.200
32	Waveform 1	1	813.506422285	813.770850758	23711.300	54896.900
32	Spectrogram 1	1	813.506422285	813.770850758	23711.300	54896.900
33	Waveform 1	1	815.240761821	815.555742796	22938.100	56958.800
33	Spectrogram 1	1	815.240761821	815.555742796	22938.100	56958.800
34	Waveform 1	1	816.990656126	817.223975367	23195.900	56958.800
34	Spectrogram 1	1	816.990656126	817.223975367	23195.900	56958.800
35	Waveform 1	1	826.673403316	827.000050253	19329.900	57989.700
35	Spectrogram 1	1	826.673403316	827.000050253	19329.900	57989.700
36	Waveform 1	1	841.924703736	842.169688939	20876.300	60051.500
36	Spectrogram 1	1	841.924703736	842.169688939	20876.300	60051.500
37	Waveform 1	1	898.442395639	898.632939686	19845.400	64690.700
37	Spectrogram 1	1	898.442395639	898.632939686	19845.400	64690.700
38	Waveform 1	1	901.055571135	901.238337874	22680.400	59278.400
38	Spectrogram 1	1	901.055571135	901.238337874	22680.400	59278.400
39	Waveform 1	1	932.055919688	932.363123355	24742.300	52835.100
39	Spectrogram 1	1	932.055919688	932.363123355	24742.300	52835.100
40	Waveform 1	1	933.490832865	933.747484029	23711.300	52577.300
40	Spectrogram 1	1	933.490832865	933.747484029	23711.300	52577.300
41	Waveform 1	1	934.847973115	935.229061208	22422.700	57216.500
41	Spectrogram 1	1	934.847973115	935.229061208	22422.700	57216.500
42	Waveform 1	1	937.861679820	938.149440217	22938.100	55670.100
42	Spectrogram 1	1	937.861679820	938.149440217	22938.100	55670.100
43	Waveform 1	1	951.868611110	952.109707658	25000.000	57989.700
43	Spectrogram 1	1	951.868611110	952.109707658	25000.000	57989.700
44	Waveform 1	1	1014.584820553	1014.748144022	30412.400	52061.900
44	Spectrogram 1	1	1014.584820553	1014.748144022	30412.400	52061.900
45	Waveform 1	1	1579.454563958	1579.613998772	28866.000	51804.100
45	Spectrogram 1	1	1579.454563958	1579.613998772	28866.000	51804.100
46	Waveform 1	1	1590.366126807	1590.537227584	29896.900	50773.200
46	Spectrogram 1	1	1590.366126807	1590.537227584	29896.900	50773.200
47	Waveform 1	1	781.477537605	781.635028093	18796.992	57330.827
47	Spectrogram 1	1	781.477537605	781.635028093	18796.992	57330.827
48	Waveform 1	1	1530.049136210	1530.138575252	15742.481	27020.677
48	Spectrogram 1	1	1530.049136210	1530.138575252	15742.481	27020.677
